Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
Egflam-Gpr179 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent):  
Mouse (Mus musculus)

Complex name:  
Egflam–Gpr179 synaptic adhesion complex

Function:  
At photoreceptor ribbon synapses in the outer retina, this extracellular complex bridges the photoreceptor terminal to the postsynaptic ON‑bipolar cell membrane. It organizes the synaptic cleft matrix, ensures proper alignment of presynaptic release sites with postsynaptic receptors, and is essential for normal scotopic (low‑light) signal transmission.

Constituent proteins and corresponding genes:  
1. Egflam (Pikachurin)  
   – Gene: Egflam  
   – Role: Secreted extracellular matrix protein with EGF‑like, FN3 and laminin‑G domains that binds to presynaptic dystroglycan and postsynaptic receptors.  
2. Gpr179  
   – Gene: Gpr179  
   – Role: Orphan G‑protein‑coupled receptor localized to ON‑bipolar dendritic tips; interacts extracellularly with Egflam.

Other organisms (orthologous presence):  
– Human (Homo sapiens): EGFLAM and GPR179 both expressed at photoreceptor synapses; mutations cause congenital stationary night blindness.  
– Zebrafish (Danio rerio): Pikachurin and Gpr179 orthologs localize similarly in the outer retina.

Self‑confidence score: 0.92  
Breakdown:  
• Consistency across databases/sources (0.3): 0.30  
• Experimental support (knockout, EM, electrophysiology) (0.3): 0.28  
• Protein–gene mapping accuracy (0.25): 0.25  
• Specificity to mouse (0.15): 0.09",,,
Egflam-Gpr179 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Egflam–Gpr179 complex  
Organism: Mouse (Mus musculus)  
Complex Function: A trans‑synaptic adhesion/signaling complex at photoreceptor ribbon synapses that aligns presynaptic release sites with postsynaptic ON‑bipolar cell signal–transduction machinery. Secreted Egflam (Pikachurin) in the interphotoreceptor matrix binds postsynaptic GPR179, promoting recruitment and stabilization of nyctalopin (NYX) and TRPM1 at bipolar dendritic tips, which is essential for scotopic (low‑light) vision.  
Proteins:  
  • Egflam (Pikachurin)  
  • GPR179 (Probable G‑protein coupled receptor 179)  
Genes:  
  • Egflam  
  • Gpr179  
Other Organisms: Human (Homo sapiens)  
Self Confidence Score: 0.79",,,
Egflam-Gpr179 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Egflam–GPR179 complex  
Organism: Human  
Other Organisms: Mouse  

Complex Function:  
Mediates the trans‑synaptic linkage between photoreceptor terminals and ON‑bipolar cell dendritic tips in the outer plexiform layer of the retina. This interaction is required for proper localization of signaling components (including metabotropic glutamate receptor mGluR6 and TRPM1 channels) at the ON‑bipolar postsynapse and is essential for normal synaptic transmission under scotopic (low‑light) conditions.  

Proteins:  
• Pikachurin (EGFLAM)  
• G‑protein coupled receptor 179 (GPR179)  

Genes:  
• EGFLAM  
• GPR179  

Self Confidence Score: 0.94",,,
Ceacam1-4L-Syk-Tlr4 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
• Mus musculus (mouse)  

Complex name:  
• CEACAM1‑4L–Syk–TLR4 signaling complex  

Function:  
• Forms at the macrophage plasma membrane following LPS stimulation  
• Modulates TLR4‑dependent signaling via recruitment of the tyrosine kinase Syk to the long‑cytoplasmic‑tail isoform of CEACAM1, resulting in dampened pro‑inflammatory cytokine production and maintenance of immune homeostasis  

Proteins in the complex and their genes:  
1) CEACAM1‑4L  
 – Protein: Carcinoembryonic antigen‑related cell adhesion molecule 1, isoform 4 long cytoplasmic tail  
 – Gene: Ceacam1 (MGI:109784)  
2) Syk  
 – Protein: Spleen tyrosine kinase  
 – Gene: Syk (MGI:1858817)  
3) TLR4  
 – Protein: Toll‑like receptor 4  
 – Gene: Tlr4 (MGI:103340)  

Other organisms (orthologous system reported):  
• Homo sapiens – human CEACAM1, SYK and TLR4 interact in monocytes and dendritic cells in a comparable regulatory circuit, although most mechanistic data derive from mouse  

Self‑confidence score: 0.88  
• Consistency across databases/sources (0.3): 0.90  
• Supporting experimental data (0.3): 0.80  
• Protein‑gene mapping accuracy (0.25): 0.95  
• Organism‑specificity (0.15): 0.90",,,
Ceacam1-4L-Syk-Tlr4 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ceacam1-4L–Syk–TLR4 complex  
Organism: Mouse (Mus musculus)  
Other Organisms: Human (Homo sapiens)  

Complex Function:  
Upon LPS engagement of TLR4 in murine macrophages, the long‐cytoplasmic‐tail isoform of CEACAM1 (Ceacam1‑4L) becomes tyrosine‑phosphorylated at its ITIM motifs and binds spleen tyrosine kinase (Syk). This tripartite assembly (Ceacam1‑4L:Syk:TLR4) sequesters Syk away from the MyD88–IRAK–NF‑κB axis, thereby attenuating LPS‑induced NF‑κB activation and downstream pro‑inflammatory cytokine (e.g., TNF‑α, IL‑6) production.  

Proteins:  
• Carcinoembryonic antigen‐related cell adhesion molecule 1, isoform 4L  
• Spleen tyrosine kinase  
• Toll‑like receptor 4  

Genes:  
• Ceacam1  
• Syk  
• Tlr4  

Self Confidence Score: 0.85",,,
Ceacam1-4L-Syk-Tlr4 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: CEACAM1‑4L–Syk–TLR4 complex  
Organism: Human  

Complex Function:  
This membrane‑proximal assembly forms in myeloid and epithelial cells upon lipopolysaccharide (LPS) stimulation. The long‑tail isoform of CEACAM1 (CEACAM1‑4L) associates with TLR4 and the tyrosine kinase Syk to modulate downstream signalling: it attenuates TLR4‑driven NF‑κB activation and pro‑inflammatory cytokine release while facilitating appropriate phagocytic responses.  

Proteins in the Complex:  
• CEACAM1‑4L (Carcinoembryonic antigen‑related cell adhesion molecule 1, isoform with four extracellular Ig domains and long cytoplasmic tail)  
• Syk (Spleen tyrosine kinase)  
• TLR4 (Toll‑like receptor 4)  

Genes Encoding These Proteins:  
• CEACAM1  
• SYK  
• TLR4  

Other Organisms:  
Mouse (Mus musculus) expresses orthologous proteins—including Ceacam1 isoforms, Syk and Tlr4—that similarly interact in innate immune signalling.  

Self Confidence Score: 0.82",,,
KDR-NRP1-VEGF165 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens (Human)  
  
Complex Name:  
  KDR–NRP1–VEGF165 receptor–ligand signaling complex  
  
Function:  
  • Mediates VEGF‑A165–induced angiogenic signaling in vascular endothelial cells  
  • Promotes receptor dimerization and activation of downstream pathways (e.g. MAPK/ERK, PI3K/Akt)  
  • Drives endothelial cell proliferation, migration, survival and vascular permeability  
  
Constituent Proteins and Corresponding Genes:  
  • VEGF165 (vascular endothelial growth factor A, isoform 165)  
    – Gene: VEGFA  
  • KDR (kinase insert domain receptor; also known as VEGFR2)  
    – Gene: KDR  
  • NRP1 (neuropilin‑1)  
    – Gene: NRP1  
  
Other Organisms (with orthologous complex):  
  • Mus musculus (Mouse) – genes: Vegfa, Kdr, Nrp1  
  (In Caenorhabditis elegans, Drosophila melanogaster or Saccharomyces cerevisiae, direct orthologs of this triad and its VEGF165‑driven complex are not functionally conserved.)  
  
Self‑Confidence Score: 0.95  
  • Cross‑database consistency (0.3): 0.30  
  • Experimental support (0.3): 0.28  
  • Protein–gene mapping accuracy (0.25): 0.24  
  • Human‑specific focus (0.15): 0.13",,,
KDR-NRP1-VEGF165 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: KDR‑NRP1‑VEGF165 complex  
Organism: Human  
Complex Function: A cell-surface signaling assembly in vascular endothelial cells that binds VEGF165, promotes VEGFR2 (KDR) dimerization and activation, and recruits Neuropilin‑1 as a co‑receptor. This complex enhances VEGF‑stimulated endothelial cell proliferation, migration, survival, and angiogenic sprouting.  
Proteins:  
 • Vascular endothelial growth factor receptor 2 (VEGFR2, also known as KDR)  
 • Neuropilin‑1 (NRP1)  
 • Vascular endothelial growth factor A, isoform 165 (VEGF165)  
Genes:  
 • KDR  
 • NRP1  
 • VEGFA  
Other Organisms: Mouse (Mus musculus), Rat (Rattus norvegicus)  
Self Confidence Score: 0.94",,,
KDR-NRP1-VEGF165 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: KDR–NRP1–VEGF165 complex  
Organism: Human  
Complex Function: VEGF165 binds VEGFR2 (KDR) and neuropilin‑1 (NRP1) simultaneously, enhancing receptor dimerization and downstream angiogenic signaling (endothelial proliferation, migration, survival, permeability).  
Proteins:  
 • Kinase insert domain receptor (KDR/VEGFR2)  
 • Neuropilin‑1 (NRP1)  
 • Vascular endothelial growth factor A, isoform VEGF165  
Genes:  
 • KDR  
 • NRP1  
 • VEGFA  
Other Organisms: Mus musculus (mouse)  
Self Confidence Score: 0.95",,,
NRP1-VEGF121 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent):  
• Homo sapiens (human)

Complex name:  
• Neuropilin‑1 – VEGF₁₂₁ receptor–ligand complex

Function:  
• Mediates VEGF‑driven angiogenesis by presenting VEGF₁₂₁ to endothelial VEGF receptors (primarily VEGFR‑2), enhancing endothelial cell proliferation, migration, and survival  
• Regulates vascular permeability and extracellular matrix remodeling during blood‑vessel growth  
• Contributes to neuronal guidance and axonal patterning in the developing nervous system

Constituent proteins and corresponding genes:  
1. Neuropilin‑1 (NRP1)  
   – Gene: NRP1  
   – UniProt (human): O14786  
2. Vascular endothelial growth factor A, isoform 121 (VEGF₁₂₁)  
   – Gene: VEGFA  
   – UniProt (human): P15692 (isoform 121)

Other organisms in which this complex is experimentally observed:  
• Mus musculus (mouse) — mouse Nrp1 and Vegfa₁₂₁ interact in analogous angiogenic pathways

Self‑confidence score: 0.96  
(Weights applied: consistency across sources 0.30, experimental support 0.29, protein–gene mapping accuracy 0.25, organism specificity 0.12)",,,
NRP1-VEGF121 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: NRP1–VEGF121 complex  
Organism: Homo sapiens  

Complex Function:  
NRP1 (Neuropilin‑1) serves as a high‑affinity co‑receptor for the 121‑amino‑acid isoform of vascular endothelial growth factor A (VEGF121). By binding VEGF121 at its b1 domain, NRP1 enhances VEGFR2 (KDR) signaling, promoting endothelial cell proliferation, migration, vascular permeability and certain aspects of neuronal guidance during development and in wound‑healing or tumor angiogenesis. VEGF121 lacks the heparin‑binding domain present in longer isoforms, so complex formation with NRP1 is critical for its effective presentation to VEGFR2 and downstream signal amplification.  

Proteins in the Complex:  
• Neuropilin‑1 (NRP1)  
• Vascular endothelial growth factor A isoform 121 (VEGF121)  

Corresponding Genes:  
• NRP1 → encodes Neuropilin‑1  
• VEGFA → encodes VEGF121 (one of several VEGF‑A splice variants)  

Other Organisms (where an orthologous NRP1–VEGF121 interaction has been experimentally characterized):  
• Mus musculus (Mouse)  

Self Confidence Score: 0.95  
(Consistency across multiple databases and publications is high; co‑receptor interaction and functional assays are well documented; protein–gene assignments are unambiguous; analysis is specific to the human complex.)",,,
NRP1-VEGF121 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: NRP1–VEGF121 complex  
Organism: Human  

Complex Function:  
NRP1 (Neuropilin‑1) serves as a high‑affinity co‑receptor for the VEGF‑A isoform 121 (VEGF121). Binding of VEGF121 to NRP1 enhances VEGF‑A signaling through VEGFR2, promoting endothelial cell migration, proliferation, and vascular permeability during angiogenesis.  

Proteins:  
• Neuropilin‑1 (NRP1)  
• Vascular endothelial growth factor A, isoform 121 (VEGF121)  

Genes:  
• NRP1  
• VEGFA  

Other Organisms:  
• Mouse (Mus musculus) – Nrp1–Vegfa interactions with the 120‑aa isoform are functionally conserved in murine angiogenesis studies.  

Self Confidence Score: 0.95",,,
KDR-VEGF165 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
• Homo sapiens  

Complex name  
• VEGFR2–VEGF165 ligand–receptor complex (also called KDR–VEGF165 complex)  

Complex function  
• VEGF165 binds the extracellular domain of VEGFR2 (KDR), inducing receptor dimerization and autophosphorylation  
• Triggers downstream signaling (e.g. PLCγ–PKC, PI3K–AKT, MAPK)  
• Drives endothelial cell proliferation, migration, survival, vascular permeability, and angiogenesis  

Proteins in the complex and their genes  
1. VEGFR2 (a receptor tyrosine kinase)  
   – Protein: Kinase insert domain receptor  
   – Gene: KDR (HGNC: KDR; Gene ID 3791)  
2. VEGF165 (an isoform of VEGFA)  
   – Protein: Vascular endothelial growth factor A, isoform 165  
   – Gene: VEGFA (HGNC: VEGFA; Gene ID 7422)  

Other organisms where a highly similar complex exists  
• Mouse (Mus musculus): Kdr (Flk1) receptor binds Vegfa-164  
• Zebrafish (Danio rerio): kdrl receptor binds vegfaa isoforms  

Self‑confidence score for these findings: 0.95  
(Weights: database consistency 0.3; experimental support 0.3; protein–gene mapping accuracy 0.25; human‑specificity 0.15)",,,
KDR-VEGF165 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: KDR‑VEGF165 complex  
Organism: Human  

Complex Function:  
Binding of the VEGF165 ligand to the extracellular domain of the KDR (VEGFR‑2) receptor promotes receptor dimerization, trans‑autophosphorylation of its tyrosine kinase domains, and recruitment of downstream effectors (e.g. PLCγ, PI3K, ERK/MAPK). This signaling cascade drives endothelial cell proliferation, migration, vascular permeability and new blood‑vessel formation (angiogenesis).  

Proteins:  
• Kinase insert domain receptor (VEGFR‑2, also known as KDR)  
  – UniProt: P35968  
• Vascular endothelial growth factor A, isoform 165 (VEGF165)  
  – UniProt: P15692‑2  

Genes:  
• KDR  
• VEGFA  

Other Organisms:  
• Mouse (orthologous complex formed by Flk‑1 [Kdr] and VEGF164)  

Self Confidence Score: 0.98",,,
KDR-VEGF165 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: KDR–VEGF165 complex  
Organism: Human  
Complex Function: Binding of VEGF165 to the extracellular domain of the receptor tyrosine kinase KDR (VEGFR2) induces receptor dimerization and autophosphorylation. This activates downstream signaling pathways (MAPK/ERK, PI3K/AKT, PLCγ) that drive endothelial cell proliferation, migration, survival and vascular permeability—key steps in angiogenesis and vascular homeostasis.  
Proteins:  
- Kinase insert domain receptor (KDR; also known as VEGFR2)  
- Vascular endothelial growth factor A, isoform VEGF165  

Genes:  
- KDR  
- VEGFA  

Other Organisms: Mus musculus (Kdr–Vegfa), Rattus norvegicus (Kdr–Vegfa)  

Self Confidence Score: 0.98",,,
FLT4-VEGFC complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Human (Homo sapiens)  

Complex Name:  
FLT4–VEGFC receptor–ligand complex (also known as VEGFR‑3–VEGF‑C complex)  

Complex Function:  
• Mediates lymphangiogenesis and maintenance of lymphatic vasculature  
• Regulates endothelial cell proliferation, migration, and survival in lymphatic vessels  
• Plays roles in fluid homeostasis and immune cell trafficking  

Proteins in the Complex and Corresponding Genes:  
• FLT4 (Receptor tyrosine kinase VEGFR‑3)  
  – Gene: FLT4  
• VEGFC (Vascular endothelial growth factor C)  
  – Gene: VEGFC  

Other Organisms with This Complex (orthologous systems):  
• Mouse (Mus musculus) — orthologous Flt4–Vegfc signaling governs lymphatic development in mouse embryos  

Self‑Confidence Score: 0.96  

Scoring rationale (total=1.00):  
• Consistency across databases/sources (0.30): 0.30 — FLT4–VEGFC pairing and function are well documented in UniProt, Reactome, and primary literature.  
• Supporting experimental data (0.30): 0.29 — Numerous co‑immunoprecipitation, ligand‑binding, knockout and structural assays validate the interaction.  
• Accuracy of protein–gene mapping (0.25): 0.24 — Direct one‑to‑one mapping (FLT4→FLT4; VEGFC→VEGFC) with standardized nomenclature.  
• Specificity to the chosen organism (0.15): 0.13 — Focused on human data; mouse mentioned only as orthologous system.",,,
